cluster,scenario,mean,lower-bound,upper-bound
L,4,27.81571,19.74735,35.88408
L,3,23.90841,17.90783,29.90898
L,2,14.23148,11.44548,17.01747
C,4,10.810595,7.110953,14.510237
C,3,9.995621,7.625405,12.365837
C,2,7.49632,6.082584,8.910056
R,4,16.163041,1.609729,30.716352
R,3,12.687653,7.481546,17.893761
R,2,10.05171,7.298241,12.805178
AW,4,46.06042,32.32822,59.79263
AW,3,35.80475,26.54182,45.06768
AW,2,23.98272,19.40094,28.5645
fR,4,26.765706,6.670792,46.86062
fR,3,18.379322,7.006556,29.752088
fR,2,14.176132,7.434618,20.917646
