cluster,length,mean
fL,5,0.265573770491803
L,5,0.357716561566523
C,5,0.271637426900594
AW,5,0.308585331943002
R,5,0.29384615384615
fR,5,0.330275229357793
fL,6,0.237373737373737
L,6,0.329119714918619
C,6,0.232784528942898
AW,6,0.276275588145432
R,6,0.260055754679409
fR,6,0.289179755671902
fL,7,0.175510204081633
L,7,0.296277285498152
C,7,0.201617520755802
AW,7,0.246619970679268
R,7,0.242467718794833
fR,7,0.258493939996025
fL,8,0.201388888888889
L,8,0.27579079798706
C,8,0.179539914686167
AW,8,0.22170151405912
R,8,0.214219330855019
fR,8,0.229666095890411
fL,9,0.155555555555556
L,9,0.255382911495478
C,9,0.163134712872935
AW,9,0.209831771935129
R,9,0.189066059225514
fR,9,0.223367697594503
fL,10,0.115
L,10,0.239617969579066
C,10,0.15229437229437
AW,10,0.196350364963501
R,10,0.194225721784777
fR,10,0.202433090024331
fL,11,0.0984848484848485
L,11,0.221916131007035
C,11,0.144580602260855
AW,11,0.186158357771263
R,11,0.191705575391377
fR,11,0.171657754010696
fL,12,0.111111111111111
L,12,0.205956741671025
C,12,0.125968992248061
AW,12,0.154666666666666
R,12,0.166666666666667
fR,12,0.150696864111498
fL,13,0.102564102564103
L,13,0.194703974439657
C,13,0.135278514588861
AW,13,0.158192090395482
R,13,0.193202146690519
fR,13,0.148240423544067
fL,14,0.119047619047619
L,14,0.182097104101628
C,14,0.105665024630542
AW,14,0.148178007094485
R,14,0.164184157075153
fR,14,0.138868745467731
fL,15,0.1
L,15,0.176686423934517
C,15,0.104834605597965
AW,15,0.140704340704342
R,15,0.157777777777778
fR,15,0.135174953959484
fL,16,0.075
L,16,0.166584887144259
C,16,0.0961538461538462
AW,16,0.142230576441103
R,16,0.191991017964072
fR,16,0.126977848101266
fL,17,0.0784313725490196
L,17,0.166437143419243
C,17,0.0945966172728635
AW,17,0.134243697478992
R,17,0.157239819004525
fR,17,0.126397666504618
fL,18,0.0888888888888889
L,18,0.15290654893304
C,18,0.0926957598266795
AW,18,0.12541022034693
R,18,0.169464428457235
fR,18,0.119576719576719
fL,19,0.0657894736842105
L,19,0.135349686433279
C,19,0.0811125916055966
AW,19,0.13442697653224
R,19,0.148631578947369
fR,19,0.118947368421052
fL,20,0.05
L,20,0.138777219430485
C,20,0.0842024539877304
AW,20,0.12514450867052
R,20,0.1405
fR,20,0.108947368421053
fL,21,0.0476190476190476
L,21,0.133904761904763
C,21,0.0877406281661599
AW,21,0.119893642736282
R,21,0.158549783549783
fR,21,0.094047619047619
fL,22,0.0909090909090909
L,22,0.136878994021852
C,22,0.0792811839323467
AW,22,0.125431530494822
R,22,0.225454545454545
fR,22,0.0932703659976389
fL,23,0.0434782608695652
L,23,0.133139172040773
C,23,0.0772707705553163
AW,23,0.100201554851713
R,23,0.164835164835165
fR,23,0.11505016722408
fL,24,0.0416666666666667
L,24,0.125712250712251
C,24,0.0678642714570858
AW,24,0.112179487179487
R,24,0.148214285714286
fR,24,0.0849358974358974
fL,25,0.04
L,25,0.10615835777126
C,25,0.0749333333333332
AW,25,0.12
R,25,0.180298507462686
fR,25,0.0840677966101695
fL,26,0.0384615384615385
L,26,0.113619167717529
C,26,0.0616883116883116
AW,26,0.107542942494399
R,26,0.152286902286902
fR,26,0.0853846153846154
fL,27,0.037037037037037
L,27,0.115523465703971
C,27,0.0632716049382716
AW,27,0.0897289041618939
R,27,0.159041394335512
fR,27,0.0622222222222222
fL,28,0.0357142857142857
L,28,0.103361344537815
C,28,0.0657596371882086
AW,28,0.0857919254658384
R,28,0.127857142857143
fR,28,0.0843253968253968
fL,29,0.0431034482758621
L,29,0.107091737150293
C,29,0.0730223123732251
AW,29,0.098580121703854
R,29,0.103448275862069
fR,29,0.0613026819923372
fL,30,0.0666666666666667
L,30,0.0954609929078016
C,30,0.0531914893617021
AW,30,0.106349206349206
R,30,0.136601307189542
fR,30,0.065625
